year,round,iso_a2,admin_field,admin_code,country,level,catchment_area,vas_6_11,vas_12_59,vas_6_59,dw_1259,vas_6_59_f,vas_6_59_m,admin_pecs_6_59,admin_nat_6_59,pecs_admin_delta,pecs_admin_delta_positive,ona,pecs_lat,pecs_long
2011,2,BF,code_hasc,BF.SAHEL,Burkina Faso,catchment,Sahel,95.5,93.2,93.7,,93.9,94.3,99,99,-5.3,5.30,no,,
2011,2,BF,code_hasc,BF.SAHEL,Burkina Faso,catchment,Sahel,95.5,93.2,93.7,,93.9,94.3,99,99,-5.3,5.30,no,,
2011,2,BF,code_hasc,BF.SAHEL,Burkina Faso,catchment,Sahel,95.5,93.2,93.7,,93.9,94.3,99,99,-5.3,5.30,no,,
2011,2,BF,code_hasc,BF.SAHEL,Burkina Faso,catchment,Sahel,95.5,93.2,93.7,,93.9,94.3,99,99,-5.3,5.30,no,,
2012,1,BF,code_hasc,BF.SAHEL,Burkina Faso,catchment,Sahel,88.6,91,90.6,,88.6,92.4,91.7,99,-1.1,1.10,no,,
2012,1,BF,code_hasc,BF.SAHEL,Burkina Faso,catchment,Sahel,88.6,91,90.6,,88.6,92.4,91.7,99,-1.1,1.10,no,,
2012,1,BF,code_hasc,BF.SAHEL,Burkina Faso,catchment,Sahel,88.6,91,90.6,,88.6,92.4,91.7,99,-1.1,1.10,no,,
2012,1,BF,code_hasc,BF.SAHEL,Burkina Faso,catchment,Sahel,88.6,91,90.6,,88.6,92.4,91.7,99,-1.1,1.10,no,,
2012,1,BF,code_hasc,BF.SAHEL,Burkina Faso,catchment,Sahel,88.6,91,90.6,,88.6,92.4,91.7,99,-1.1,1.10,no,,
2012,2,BF,code_hasc,BF.EST,Burkina Faso,catchment,East,83.1,87.6,86.8,72.9,86.9,86.7,101,99,-14.2,14.20,no,,
2012,2,BF,code_hasc,BF.SAHEL,Burkina Faso,catchment,Sahel,93.1,93.7,93.6,82.5,93.1,94,93.8,99,-0.2,0.20,no,,
2013,1,BF,code_hasc,BF.EST,Burkina Faso,catchment,"East (Diapaga, Fada, Pama, Gayeri)",96,97.1,96.9,87.9,97,96.8,99,99,-2.1,2.10,no,,
2013,2,BF,code_hasc,BF.SAHEL,Burkina Faso,catchment,Sahel,85.7,87.6,87.2,74.1,89.7,84.7,99,99,-11.8,11.80,yes,14.03433282,-0.522430283
2011,2,CM,code_hasc,CM.LT,Cameroon,catchment,Wouri Division/Littoral Region,,,,,,,93.6,97.7,-93.6,93.60,no,,
2012,1,CM,code_hasc,CM.LT,Cameroon,catchment,Wouri Division/Littoral Region,60.5,72.7,71.1,72,73.2,69.3,90.3,89.4,-19.2,19.20,no,,
2012,2,CM,code_hasc,CM.LT,Cameroon,catchment,Wouri Division/Littoral Region,63.2,72.2,70.9,70.6,69,72.6,99,99,-28.1,28.10,no,,
2013,1,CM,code_hasc,CM.LT,Cameroon,catchment,Wouri Division/Littoral Region,62.5,72.8,71.4,70.8,72.8,70.1,81.4,99,-10,10.00,yes,4.044643387,9.760446659
2013,2,CM,code_hasc,CM.LT,Cameroon,catchment,Wouri Division/Littoral Region,80.6,79.6,79.8,78,79.7,79.9,99,99,-19.2,19.20,yes,4.061720782,9.763082445
2012,1,CI,iso_a2,CI,Cote d'Ivoire,national,National,90.7,90.8,90.8,88.2,90.9,90.7,99,99,-8.2,8.20,no,,
2012,2,CD,code_hasc,CD.BC,DRC,catchment,Bas-Congo,84.6,84.8,84.8,82.9,84.8,84.8,99.1,84.5,-14.3,14.30,no,,
2012,2,CD,code_hasc,CD.KN,DRC,catchment,Kinshasa,84.6,84.8,84.8,82.9,84.8,84.8,99.1,84.5,-14.3,14.30,no,,
2011,2,GN,code_hasc,GN.KA,Guinea,catchment,Kankan,80.7,85.3,85.1,,85,84.2,87.3,90.5,-2.2,2.20,no,,
2012,1,GN,code_hasc,GN.KA,Guinea,catchment,Kankan,88.4,90.6,90.4,,90.6,90.3,95,99,-4.6,4.60,no,,
2012,2,GN,code_hasc,GN.KE,Guinea,catchment,Kerouane (Kankan),93.8,,,93.8,,,99,97.7,-99,99.00,no,,
2013,1,GN,code_hasc,GN.BK,Guinea,catchment,Boke,95.9,88.9,89.4,73.9,88.6,90.2,68.5,97.2,20.9,20.90,no,,
2013,1,GN,code_hasc,GN.FA,Guinea,catchment,Faranah,89.5,93.1,92.4,65.2,91.5,93.2,99,97.2,-6.6,6.60,no,,
2013,2,GN,code_hasc,GN.MM,Guinea,catchment,Mamou,79.8,81.3,81.1,60.8,82.7,79.6,83.9,76,-2.8,2.80,yes,,
2012,1,KE,code_hasc,KE.A,Kenya,catchment,Non-ASAL,42.2,29.6,31,19.6,29.6,32.6,,,31,31.00,no,,
2013,1,KE,code_hasc,KE.CO,Kenya,catchment,Mumias and Matuga (Kwale),63.6,57.7,58.3,35.8,59.3,57.4,30.1,60,28.2,28.20,yes,-4.36743212,39.19381122
2012,2,MZ,code_hasc,MZ.NM,Mozambique,catchment,Nampula,62.9,53.3,54.7,,55.9,53.5,99.4,99,-44.7,44.70,no,,
2013,1,MZ,code_hasc,MZ.GA,Mozambique,catchment,Chibuto and Mandlakazi (Gaza),93.3,84.1,85.3,76.2,85.7,84.8,99,99,-13.7,13.70,yes,-24.797912,34.178486
2011,2,NE,iso_a2,NE,Niger,national,National,87,92.3,91.8,,91.9,91.4,99,99,-7.2,7.20,no,,
2012,2,NE,code_hasc,NE.DF,Niger,catchment,Diffa,90.8,87.8,88.2,,88.1,88.8,99,99,-10.8,10.80,no,,
2012,2,NE,code_hasc,NE.NI,Niger,catchment,Niamey,85.7,96.6,95.4,,96.2,94.5,99,99,-3.6,3.60,no,,
2012,2,NE,code_hasc,NE.TH,Niger,catchment,Tahoua,96.3,96.9,96.8,,97.8,95.7,99,99,-2.2,2.20,no,,
2012,1,NG,code_hasc,NG.FC,Nigeria,catchment,FCT,67.2,66.9,66.9,21.2,64,69.9,,,66.9,66.90,no,,
2013,2,NG,code_hasc,NG.AK,Nigeria,catchement,Akwa Ibom,39.2,46.2,45.2,23,47.6,43.2,97,,-51.8,51.80,yes,4.974135511,7.793623426
2013,2,NG,code_hasc,NG.BE,Nigeria,catchement,Benue,53.7,50,50.7,16.2,50.5,50.9,92.6,,-41.9,41.90,yes,7.913306118,8.589981072
2011,2,SL,iso_a2,SN,Sierra Leone,national,National,96.8,91.4,92.4,,93.8,91,,,92.4,92.40,no,,
2012,1,SL,iso_a2,SL,Sierra Leone,national,National,96.9,96.3,96.4,,96.5,96.3,,,96.4,96.40,no,,
2012,2,SL,iso_a2,SL,Sierra Leone,national,National,,,91.5,87.2,91.9,90.9,97.4,97.4,-5.9,5.90,no,,
2012,1,TZ,code_hasc,TZ.SH,Tanzania,catchment,"Intervention: Bariadi, Singida Urban, Newala .  Control: Rorya Arusha Rural , Lindi Urban ",88,84.9,85.3,76.4,86.5,84.3,95.9,108,-10.6,10.60,no,,
2012,2,TZ,code_hasc,TZ.TB,Tanzania,catchment,Tabora and Shinyanga,65.2,65.8,65.7,54.2,69.8,61.5,99.5,99,-33.8,33.80,no,,
2013,2,SN,iso_a2,SN,Senegal,national,National,85.1,90.3,89.7,87.9,91.1,88.3,83.6,83.6,6.1,6.10,yes,,
2013,2,TZ,code_hasc,TZ.DS,Tanzania,catchement,Dar es Salaam,36,32.5,37.2,36,32.1,37.3,34.7,98.4,2.5,2.50,,,